序号,门店名称,8月1日,8月2日,8月3日,8月4日,8月5日,8月6日,8月7日,8月8日,8月9日,8月10日,8月11日,8月12日,8月13日,8月14日,8月15日,8月16日,8月17日,8月18日,8月19日,8月20日,8月21日,8月22日,8月23日,8月24日,8月25日,8月26日,8月27日,8月28日,8月29日,8月30日,8月31日
1,李子坝梁山鸡巴南万达店,13,12,12,11,11,13,13,10,11,10,9,8.5,12,11,10,10,8,12,11,13,12,10,0,0,1,5,4,7,5,5,5
2,李子坝梁山鸡北碚万达店,8,7,7,9,8,9,9,7,8,8,7,8,9,9,7,5,7,8,7,10,9,5,5.5,6,5,5,7,6,5,5,6.5
3,李子坝梁山鸡万象汇店,8,8,8,10,8,11,11,8,8,9,6,9,11,10,7,7,9,9,12.5,14,11.5,8.5,0,0,0,4,10,8,4.5,4.5,6
4,李子坝梁山鸡大学城店,8,8,8,10,9,10,10,6,5.5,7,7,7,8,8.5,6.5,6.5,6.5,6.5,7,7,7,6,5,5.5,5.5,5.5,8,7,5.5,6,6
5,李子坝梁山鸡东原悦荟店,8,8,8,11,9.5,11,11,8,7.5,7.5,8,8,9,9,7.5,8,7,7.5,8,10,9.5,6,5,4.5,4.5,5,8,7,6,6,7.5
6,李子坝梁山鸡公园店,22,25,24,26,26,29,29,25,23,21.5,24.5,25,27,26,22,22,22,21,21,22.5,21.5,16.5,15.5,15.5,15.5,16,16,16,15.5,14.5,16.5
7,李子坝梁山鸡观音桥店,11,10,10,14,12,13,13,11,11,11,10,11,13,12,10,12,11,10,10,12,9,5.5,5.5,5.5,4.5,4.5,8.5,10,6,6,7.5
8,李子坝梁山鸡回兴店,10,9,9,11,11,11,9,8,8,9,9,8.5,11,9,7,8,8,7.5,9,9,8.5,4.5,3,3,3,3,11,10,8,9,8.5
9,李子坝梁山鸡解放碑英利店,13,15,15,14,14,13,13,13,11.5,12,12,12,13,10,11,11,8,9,8.5,7.5,7,7,4,4,4,4,5,5,6,5,6
10,李子坝梁山鸡金沙天街店,10,12,12,16,14,16,13.5,11,10.5,11.5,9.5,8,10,9.5,7.5,8,10,4,0,0,0,0,0,0,0,0,0,0,0,5,8
11,李子坝梁山鸡来福士店,15,14.5,14,17,15,17,17,15,15,16,12,12,12,11,11,8,8,8,8,11,8,7,3.5,2.5,2.5,2.5,6,4,4,4,3
12,李子坝梁山鸡昆明南亚首店,9.5,10,9,11,11,11,11,9,9,8,9,11,11,12,9,9,6.5,7,7,6,7,7,10,8,8,7,8,9,8,7.5,8
13,李子坝梁山鸡老店,17,16,17,19,20,18,19,15,15,15,11,14,16.5,14,12,12,12,12,11,13,12.5,11,11,9,10,11,13,12.5,10,9,12
14,李子坝梁山鸡源著天街店,8,8,8,9,9,10,9,7,7.5,7,6,7,9,9,6.5,7.5,8,6.5,8,9,9,6.5,6,6,6,6.5,8,8,6.5,6.5,7
15,李子坝梁山鸡南坪店,9,9,9,10.5,10,11,12,9,9,9,7,8.5,10,10,9,8,9,8,8,9,8.5,6,6,6,5.5,5.5,8,0,2.5,5,6
16,李子坝梁山鸡融创茂店,13,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,6,5.5,4,4,6,6,5,6,6
17,李子坝梁山鸡西城天街店,8.5,8,8,10,10,13,11,9,8.5,7,9,9,10,8,9,9,9,8.5,9,12,10.5,4,0,0,2.5,4,9.5,7,0,7,8
18,李子坝梁山鸡渝北店,13,14.5,14,14,14.5,15.5,14,14,13,11,12,12.5,15,14,12,12,12,13,11.5,14.5,12.5,10,11,11,11.5,11,11.5,11,11.5,9.5,10.5
19,李子坝梁山鸡约克郡光环店,8.5,8,10.5,10,10,11,11,8,8,8,7.5,8.5,10,11,9,8,7,7,9,11,11,8,6.5,6.5,7.5,10,11,11,8,6.5,7.5
20,李子坝梁山鸡长嘉汇店,14.5,16,15,18,16.5,17,18,14,16,14.5,12,14.5,16,16,13,13,12,12.5,13,14,13,9,6,6,6,6,10,8,6,6,6
1,受气牛肉巴南万达店,9,9,9,11,10,11,11,8,8,7.5,8,8.5,9.5,9,9,8,7,7,7,9,10,8,0,0,1.5,3,3,4.5,4,3,4
2,受气牛肉望京店,9,9,9,9,11,11,11,10.5,10,10,10,11,11,10.5,10,9,9,9,11,11,11,8.5,8,8,10,11,11,11,9,9.5,9
3,受气牛肉弹子石老街店,11.5,12.5,12,15,13,15,15,11,10,12,9,11,11.5,10,8.5,9,9,8,8.5,10.5,9.5,9,6.5,6,6.5,6.5,9,9,7.5,7,8.5
4,受气牛肉南坪店,11,11,12,14.5,14,15,14,10,10,10,11,13,15,15,11,11,11,11,12,13,13,10,7.5,6.5,6,7.5,12,0,2.5,6,6
5,受气牛肉观音桥大融城店,9,9,9,12,10,12,12,10,11,8.5,9,9.5,12,12,8.5,8.5,8.5,9,9,10,8,5.5,5.5,4.5,4.5,5.5,7,6.5,5.5,5.5,6
6,受气牛肉三峡广场店,11,10,10,13,11,13,12,11,9,10,10,10,10,10,10,7.5,9.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,6
7,受气牛肉水晶郦城店,8,8,8,8.5,9,8,8,7,7,7,7.5,7,7,7,7,8,7,8,9,8,9,7,7,8,7.5,7,8,8,7,7,8.5
8,受气牛肉约克郡光环店,8.5,8,8,10,10,10,10,6,8,8,8,9,10,9,8,7,7,7,8,10,10,5,5.5,5.5,6,6,9,9,7,7,8
9,受气牛肉凤天路店,3,3,3,4,3,4,3.5,3,3,3.5,3,4,4,4,4,3,3,3,5,5,5,5,5,3,5,5,4,5,5,4,4
10,受气牛肉大学城店,7.5,8,8,10,9,9,10,6.5,8,7,7,7,10,8,7,7,7,7,7.5,8,7,5,4,4,4,4,7.5,7,6,5.5,6
11,受气牛肉融创文旅城店,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7,6.5,5,5,5,5,6,7,5,5.5,6
12,受气牛肉来福士店,13.5,13,15,17,16,17,16,14,12,11.5,10,12,13.5,15,10,10,9.5,8,10,11,9.5,7.5,4,3,3,3,7,8,5,5,6
13,受气牛肉空港店,5,5,5,6,5,6,5,5,5.5,6,5,5,6,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,5
14,受气牛肉回兴店,5,5,7,7,4,5,5,5,5,5,5,5,6,5,5,6,6,5,5,5,5,3.5,2,2,2,2,5,5,5,5,5
15,受气牛肉大坪老社区店,3.5,3,3,3,3,4,4,3,3,3.5,3,3,3,3,3,3,3,3,4,4,4,3.5,3,3,3,4,4,4,4,3,2
