序号,门店名称,9月1日,9月2日,9月3日,9月4日,9月5日,9月6日,9月7日,9月8日,9月9日,9月10日,9月11日,9月12日,9月13日,9月14日,9月15日,9月16日,9月17日,9月18日,9月19日,9月20日,9月21日,9月22日,9月23日,9月24日,9月25日,9月26日,9月27日,9月28日,9月29日,9月30日
1,受气牛肉巴南万达店,3.50,3,4,4,3,3,3.5,4,5,8,7,6,4,4,4.5,5,6,6.5,4.5,5,4.5,4.5,6,6.5,6.5,5.5,5.5,5,5,7
2,受气牛肉望京店,11.00,11,11,11,9,9,10,10,12,12,12,10,9,9,11,12,12,11,9,9,9,9,11.5,14,13,11,10,10.5,10,13.5
3,受气牛肉弹子石老街店,6.50,7,10,9.5,6.5,7.5,6.5,6.5,9,13.5,13.5,13,7,6,7,7,10,9.5,7,8.5,10,9.5,9.5,10,11,10,10,11,10.5,16
4,受气牛肉南坪店,8.00,8,8,8,6,7,6.5,6.5,10,13,13,12,6,6,8,7.5,11,11,7,8,8,7.5,9,12,12,7,8,8,8,11
5,受气牛肉观音桥大融城店,6.00,6.5,8,8,6,6,6.5,6,8.5,10,10,9,6,6,6.5,8,10,9,7,7,6,6,8.5,11,10,8,8,8,8,10.5
6,受气牛肉三峡广场店,8.00,8,8,9,7,8,8,8,11,11,11,10,8,7.5,8,8.5,12,11.5,7.5,9,9,8,8,11,11,8,8,8.5,9,10
7,受气牛肉水晶郦城店,7.00,8,7.5,7,7,7,7,8.5,9.5,9,8,7,7,7,8,8,7.5,7,7,8,7,7,8,6.5,6.5,8,8,9,8,
8,受气牛肉约克郡光环店,7.00,8,10,10,7,7,6.5,7.5,9.5,10,11,11,7,6.5,6,6,10,10,5,4.5,5,5.5,7.5,9,9,6,4.5,6,6,10
9,受气牛肉凤天路店,3.00,3,4,3,2,2,3,2,4,4,4,4,3,3,3,4,4,4,3,3.5,3,3,4,4,4,2.5,3,4,4,4
10,受气牛肉大学城店,6.50,6.5,7,7,5.5,5.5,5.5,5,6.5,9,9,9,5,5,5.5,6,8,8,5,6,5,5,6,8,8,5,6,6,6,8
11,受气牛肉融创文旅城店,6.00,5,6,6,5,6,6,5,5.5,9,9,9,5,5,5,5.5,8,8,5.5,7,5.5,5.5,6,8,8,6,6,6,6,7.5
12,受气牛肉来福士店,5.00,5,7,5,5,5,5,5,7,8.5,8,6.5,4.5,4,6,6,7,6,5,6,5,6,5.5,8,8,6,6.5,6,7,9
13,受气牛肉大坪老社区店,2.50,3,3,3,2,3,3,3,3,4,4,4,3,3,3,4,4,3,3,3.5,3,3,4,4,3.5,3,3,4,3,4
