序号,门店名称,10月1日,10月2日,10月3日,10月4日,10月5日,10月6日,10月7日,10月8日,10月9日,10月10日,10月11日,10月12日,10月13日,10月14日,10月15日,10月16日,10月17日,10月18日,10月19日,10月20日,10月21日,10月22日,10月23日,10月24日,10月25日,10月26日,10月27日,10月28日,10月29日,10月30日,10月31日
1,受气牛肉巴南万达店,11,11,9.5,8,8,7,5.5,4,4,4,4,4,5,4.5,6,5,4,4,4,4,4.5,6,6,4,4.5,4,4.5,6,6,7,6
2,受气牛肉望京店,14,13.5,11,11,11,11,11,11,11,11,9,9.5,9.5,13,12.5,11,10.5,9.5,9.5,9.5,12.5,12,11.5,9.5,9.5,10,9.5,11.5,13,12,10.5
3,受气牛肉弹子石老街店,18,18,20,20,17,15,13,8,7.5,8.5,8,8.5,8.5,7.5,10,10.5,7.5,7,7,8,9,10.5,9.5,8,8,8.5,12,12.5,14,11,11.5
4,受气牛肉南坪店,13,12,12,11,11.5,12,11,8,7,7,7,7,6,7,7,8,7,6,7,7,7,9,9,7,7,7,7,8,10,10.5,9
5,受气牛肉观音桥大融城店,11,12,12,11,11,11,11,8,8,8,6,6,5.5,7.5,8,8,6,6,6,6,6.5,8,7.5,6,6,7,7,8,9,9,9
6,受气牛肉三峡广场店,12,12,13,13,11.5,12,12,8,8,8.5,8,9,9.5,10,10,9.5,8.5,8,8,9,9,10,10,8,10,8,9,9,10,9,9.5
7,受气牛肉约克郡光环店,13,13,12.5,10,10,10,10,5,5,5,4,5.5,4.5,6,10,10,4.5,4,6,6,9.5,10,10,5,6,6,6,9,10,10,7
8,受气牛肉凤天路店,3.5,3,3,3,2,3,3,2,2,2,2,2,3.5,4,4,3,3,4,2.5,3,4,4,4,3,4,3,3,3,4,4,4
9,受气牛肉大学城店,9,9,9,9,8,8,8,6,6,6,6,5.5,5.5,0,0,0,0,4,4,4,5,8,8,6,6,6,6,6.5,8,8,6.5
10,受气牛肉融创文旅城店,12,12,12,11.5,9,8,8,6,5.5,5.5,4,0,0,3,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7,7,5,6,5.5,5.5,5.5,7,7.5,6.5
11,受气牛肉来福士店,11,11,12,12,11,11,11,5,5,5,5,5,5,4,6,5,5,5,5,5.5,5,8,8,5,6,5,5,6,7,7,6
12,受气牛肉大坪老社区店,4,4,3,3,3,4,3.5,3,3,3,3,3,3,4,4,4,3,3,3,3,3.5,4,4,3,3,3,3,4,4,3.5,4
