序号,门店名称,10月1日,10月2日,10月3日,10月4日,10月5日,10月6日,10月7日,10月8日,10月9日,10月10日,10月11日,10月12日,10月13日,10月14日,10月15日,10月16日,10月17日,10月18日,10月19日,10月20日,10月21日,10月22日,10月23日,10月24日,10月25日,10月26日,10月27日,10月28日,10月29日,10月30日,10月31日
1,李子坝梁山鸡巴南万达店,12,12,12,12,12,12,11.5,8.5,7,7,8,6,6,6,9,8.5,7,7,7,7,7,10,9.5,7,7.5,7.5,7,7,10,10,8.5
2,李子坝梁山鸡北碚万达店,9,9,9,8,8,7,6,6,6,6,5.5,5,6,6,8,7,5.5,6,6,5,5.5,7,8,5,5,5.5,5.5,5.5,8,7,6
3,李子坝梁山鸡万象汇店,10,9,9,9.5,9,10,10,7,7,6,6,6,6,6,11,9,5.5,6,6,6,7,10,9,6,6,6,6,8,9,10,7.5
4,李子坝梁山鸡大学城店,10,9,8.5,8,8,8,7,5,6,6,5.5,5.5,5,0,0,2,3.5,5,4.5,5.5,5.5,8,8,6,5,5,6,6,8,7,6
5,李子坝梁山鸡东原悦荟店,11,11,9.5,9,8.5,9.5,11,5.5,5.5,6,5,5,5,7,8,6,5.5,5,5,5,6,7,6,6.5,5,5,5,6,7.5,7.5,6.5
6,李子坝梁山鸡公园店,31,31,32,32,32,30.5,26.5,14,14.5,14,14,14.5,14,15.5,18,17,14,14.5,16,15.5,18,20,20.5,14,13.5,15,17,19,20,20.5,19.5
7,李子坝梁山鸡观音桥店,11,11,11,11,11,11,11,10,8,8,8,8,6.5,6.5,8,8.5,7,7,6.5,7.5,7.5,9,9,7,7,7.5,8,7.5,10,10,13
8,李子坝梁山鸡解放碑英利店,14,14,14,14,13,13,11,6,6,7,6,6,6,6,7,6,6,6,6,6.5,6,6.5,6,6,6,6,6,7,7,6.5,6.5
9,李子坝梁山鸡金沙天街店,15,15,14,13,12,11,10,7.5,6,6,5.5,6,5,7,9.5,9,6,5.5,5.5,5.5,5.5,9,8.5,4.5,5.5,5.5,5,6,9,7.5,7
10,李子坝梁山鸡来福士店,7,7,7.5,9,9,9.5,8,5.5,5,5,6,5,4.5,4,5,4.5,5,5,6,4.5,5,5.5,5,4.5,4.5,4.5,5,5,6,5,6
11,李子坝梁山鸡昆明南亚首店,6.5,6.5,6,6,6.5,7,6.5,6.5,7,6,6.5,6,6,7,8,7.5,6.5,6,7,7.5,8,7,8,6,6.5,5,5,7,8,7.5,8
12,李子坝梁山鸡老店,18,18,18,19,19,17,17,9,12,11,11,10,11,12,14,13,11.5,10.5,12,11,13,15,14.5,9,11,10.5,10.5,13,14,14.5,12.5
13,李子坝梁山鸡源著天街店,9,9,9,8,8,7,8,6,6,6,6,5.5,6,6.5,6.5,7,6,6,6.5,6,6.5,8,7.5,5.5,5.5,6,6,6.5,8.5,8.5,8
14,李子坝梁山鸡南坪店,11,11,10,9,10,9,9,8.5,7.5,8,7,6,5,6.5,7.5,8,7,7,6,6,7,8,9,7,7,6.5,7,8,10,10,8
15,李子坝梁山鸡融创茂店,11,11,11,10.5,9.5,10,10,7,6,6,4,0,0,3,4,6,4.5,5.5,5.5,6,5.5,7,7,5.5,5,5,5,6,6,7,6
16,李子坝梁山鸡西城天街店,12,12,12,11,11,11,9,6.5,6,6,6,5,5,5.5,7,6,4.5,6,6,5.5,7,7,7,6,6,6,6,7,7,8,8
17,李子坝梁山鸡渝北店,14,14,14,14,14,12,12,10,9.5,10,10,9.5,9,11,12,11.5,10,9.5,9.5,8,10,11,11.5,10,11,10.5,10,10,12,12,10.5
18,李子坝梁山鸡约克郡光环店,13,13,12,12,11,11,11,9,9,8,7,8,7,8.5,11,11,7,7,7,9,8.5,10.5,10,7,7,7,8,8,10,10,8
19,李子坝梁山鸡长嘉汇店,20,20,20,20,20,19,14,10,9,9,8,7.5,6,7,8,8,7,9,7,7,8,10,9,9,7.5,8,8,9,10,10.5,8
20,李子坝梁山鸡回兴店,12,12,12,11,11,11,10,8,7,5,4,4,4,4,5,4,4.5,4,6,5.5,6,7.5,8.5,7,7,5.5,4.5,6.5,7,7.5,6
