序号,门店名称,9月1日,9月2日,9月3日,9月4日,9月5日,9月6日,9月7日,9月8日,9月9日,9月10日,9月11日,9月12日,9月13日,9月14日,9月15日,9月16日,9月17日,9月18日,9月19日,9月20日,9月21日,9月22日,9月23日,9月24日,9月25日,9月26日,9月27日,9月28日,9月29日,9月30日
1,李子坝梁山鸡巴南万达店,5,6,7.5,10,6,7,7,7,10.5,13,13,12,7,7,7.5,7.5,11,11,8,9,8,8,9,11,11,8,11,9,8.5,11
2,李子坝梁山鸡北碚万达店,5.5,5.5,7,6.5,5.5,5.5,5.5,5.5,6,12,12,9,5.5,5.5,6,6,11,10,5.5,5,5.5,6.5,7,9,8,5,7,5.5,5.5,8
3,李子坝梁山鸡万象汇店,7,7,9,9,7,7,6,6,7,10,9,8,6,6.5,7,8,10,10,6.5,6.5,8,9,9,10,10,8,9.5,8,9,9
4,李子坝梁山鸡大学城店,6,5.5,7,7,5,4.5,5.5,5.5,6,8,8,7,5,5,5.5,6,7,7,5,5.5,6,6,6,8,9,6,6,6,6,7
5,李子坝梁山鸡东原悦荟店,7,9,10,9,6,5.5,5.5,6,9,10,11,9.5,5,5.5,6,7,10,10,6,5,5,5,7.5,10,9,6,8,6.5,6.5,11
6,李子坝梁山鸡公园店,16,14.5,14.5,15.5,12.5,13,13,14,17,24,24,16,13,13,14,14.5,17,17,15,15,14.5,14,17.5,19.5,21.5,14.5,18,19,19,22
7,李子坝梁山鸡观音桥店,7,9,8,8,7.5,6.5,7,7,7.5,10,10,10,8,7.5,8,8,11.5,10,8,9,8,9,10,11,11,9,9,9.5,10,11
8,李子坝梁山鸡解放碑英利店,5,5,4.5,5,5,5,5,5,6.5,7.5,6,5,5,4,5.5,6,6,6,6,6.5,6,7.5,7,8,8,9,9,9,9,10
9,李子坝梁山鸡金沙天街店,6,5.5,6,6.5,4.5,5,4.5,4,6.5,10,13,10.5,6,6.5,7.5,7.5,10,10,6,7,6,7,9,11,11.5,7,6,8,8,10
10,李子坝梁山鸡来福士店,4,4,4,4.5,4.5,4.5,4.5,4,5,7.5,5.5,5,4.5,4.5,4.5,4.5,5,6,5,4,4.5,4.5,4.5,5,6,5.5,7,7.5,7.5,8.5
11,李子坝梁山鸡昆明南亚首店,8,8,8.5,8,7.5,7,7,8,9.5,11,9,9,8,8,8,9,10,10.5,8,6,7,6,8,8.5,9,7,7,6,6,6
12,李子坝梁山鸡老店,9.5,9.5,12.5,11.5,12.5,10,10,11,14.5,17,15,15,9,11,10,12.5,15,13.5,10,10,11,12,12,14,12.5,12,12,13,14,17
13,李子坝梁山鸡源著天街店,6,6.5,7,6.5,6,6,6,6,8,9,9,8.5,6,6,7.5,7.5,8,8,6,6,6,6,7,8,8,6,6,7,7,9
14,李子坝梁山鸡南坪店,6,6,6.5,7,6,6,5,6,10,11.5,12,12,8,6,8,8.5,9,9,7,7,7,7.5,9,9,10,7,8,8.5,8.5,10
15,李子坝梁山鸡融创茂店,5,4.5,5.5,4.5,4,4.5,6,5,6.5,10,10,10,5,4.5,6.5,6.5,12,9.5,7,6,6.5,6,6.5,12,10.5,7,6,6,8,9
16,李子坝梁山鸡西城天街店,6.5,4,6,6,4.5,4.5,4,5,7,10,10,9,5,5,7,6,9,10,5.5,7,7,7,7,9,10,6,6,7,7,11
17,李子坝梁山鸡渝北店,10,10.5,11,11,11,10.5,10,11,12.5,15,15,14,10.5,11,11,11,12,11,9.5,10.5,11,11,10.5,11.5,11,10,10,10,11.5,13
18,李子坝梁山鸡约克郡光环店,8,7.5,10,10,6,6,6,6,8.5,9,9,8.5,7.5,5,9,9.5,10,10,7,7,7,8,9.5,11,11,9,11,9,9,11
19,李子坝梁山鸡长嘉汇店,6,5.5,7.5,7,6,6.5,6.5,7,8.5,15,14.5,13.5,7.5,6.5,9,9.5,11,11,8.5,9.5,10,9,8,12,10,9.5,9,9,10,13
20,李子坝梁山鸡回兴店,9,10,10,10,8,8.5,8,7,10,11,11,11,8,7,11,11,12,12,9.5,9,9,10,11,12,11,10,10,11,11,12
