序号,门店名称,11月1日,11月2日,11月3日,11月4日,11月5日,11月6日,11月7日,11月8日,11月9日,11月10日,11月11日,11月12日,11月13日,11月14日,11月15日,11月16日,11月17日,11月18日,11月19日,11月20日,11月21日,11月22日,11月23日,11月24日,11月25日,11月26日,11月27日,11月28日,11月29日,11月30日,合计
1,受气牛肉巴南万达店,4,4,4,6,6,6,4,4,2,2.5,3,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,4,4,4,122
2,受气牛肉望京店,9,9.5,9.5,12.5,12.5,11,8.5,8.5,8.5,8,11,11,9.5,8.5,8.5,8.5,8,10,4,4,4,4,4,4,4,4,4,4,4,4,220.5
3,受气牛肉弹子石老街店,10,10,10,10,11.5,11.5,9,9,7,5,5,5,5,5,5,5,6,6,6,6,5,5,5,4,4,4,4,4,4,4,190
4,受气牛肉南坪店,7,7,7,9,10,8.5,7,6.5,4,4,4.5,5,5,5,5,7,5.5,6,6,7,9,8,8,7,8,8,8,8,8,8,206
5,受气牛肉观音桥大融城店,8,3,0,0,7,5,6,5,5,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,159
6,受气牛肉三峡广场店,0,0,0,0,0,0,0,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,117
7,受气牛肉约克郡光环店,7,6,6,8,10,10,5,5,5,5,5,0,5,8,9,8,9,9,9,0,0,0,6,7,11,7,7,7,7,7,188
8,受气牛肉凤天路店,3,3,3,3,4,4,3,3,3,3,3,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,114
9,受气牛肉大学城店,6,5.5,5,6.5,7,7,4.5,4.5,4.5,4,4,4,2,2,2,2,2,2,2,2,1.5,1,1,1,0,2,2,2,2,2,93
10,受气牛肉融创文旅城店,5.5,5.5,5.5,5.5,7,6.5,5.5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,128
11,受气牛肉来福士店,5,5,5,4.5,7,6,5,5,5,4,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
12,受气牛肉大坪老社区店,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,5,5,4,4,4,4,4,122
